SPECIES,SOURCE,X,Y,DEF,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
sm,USA,1900000,440000,7,0,0,0,0,0,0,0,14,-2,-9,-3,0,0,0,0,0,0,32,79,184,-285,-10
sm,USA,1900000,415000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,7,85,-118,-11
sm,USA,1925000,590000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,-9,-2
sm,USA,1925000,565000,6,1,-1,8,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,64,-59,-21
sm,USA,1925000,515000,9,0,0,0,14,-14,0,4,3,-3,-3,-1,0,0,0,0,0,0,6,27,123,-143,-13
sm,USA,1925000,490000,10,0,0,0,0,0,0,12,49,38,-84,-11,-3,-1,0,0,1,-1,8,204,-196,-16,0
sm,USA,1925000,465000,11,0,0,0,3,-3,0,6,15,156,-96,-24,-52,-5,0,0,3,-3,1,53,98,-152,0
sm,USA,1925000,440000,9,0,0,0,0,0,0,0,0,6,-5,-1,1,-1,0,0,1,-1,19,43,35,-96,0
sm,USA,1950000,515000,6,0,2,-2,4,-4,0,0,7,-7,0,0,0,0,0,0,0,0,1,-1,33,-30,-3
sm,USA,1950000,490000,13,5,8,31,39,-74,-9,118,-112,59,-64,-1,0,0,0,0,0,0,4,87,-40,-50,-1
sm,USA,1950000,465000,9,0,0,0,0,0,0,6,-4,86,-88,0,0,0,0,0,3,-3,6,44,75,-123,2
sm,USA,1975000,490000,6,0,0,13,8,-17,-4,0,0,0,0,0,0,0,0,0,0,0,3,37,-32,-8,0
sm,USA,1975000,465000,7,0,0,4,0,-4,0,0,1,-1,0,0,0,0,0,0,0,0,33,2,67,-97,-5
sm,USA,1975000,440000,5,0,0,0,0,0,0,2,-2,0,0,0,0,0,0,0,0,0,7,-4,18,-19,-2
sm,USA,2e+06,515000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,1,-25,0
sm,USA,2e+06,490000,9,1,2,5,6,-13,-1,0,0,1,-1,0,0,0,0,0,0,0,6,38,20,-64,0
sm,USA,2e+06,465000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,-1,11,-22,0
